TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-11 04:33:00,3334.94,3335.16,3334.42,3334.54,80,5,0
2025-06-11 04:34:00,3334.54,3334.77,3334.28,3334.69,63,5,0
2025-06-11 04:35:00,3334.69,3334.69,3333.25,3333.74,95,5,0
2025-06-11 04:36:00,3333.74,3334.94,3333.65,3334.94,103,5,0
2025-06-11 04:37:00,3334.94,3335.37,3334.51,3334.68,100,6,0
2025-06-11 04:38:00,3334.68,3335.56,3334.49,3335.03,91,5,0
2025-06-11 04:39:00,3335.12,3335.53,3334.48,3335.01,95,10,0
2025-06-11 04:40:00,3335.01,3336.46,3335.01,3336.21,97,10,0
2025-06-11 04:41:00,3336.21,3336.56,3335.51,3335.59,109,9,0
2025-06-11 04:42:00,3335.59,3335.94,3335.04,3335.48,109,12,0
2025-06-11 04:43:00,3335.48,3336.55,3335.36,3336.52,105,12,0
2025-06-11 04:44:00,3336.52,3336.52,3334.46,3334.46,112,10,0
2025-06-11 04:45:00,3334.46,3334.56,3333.18,3333.18,133,6,0
2025-06-11 04:46:00,3333.18,3333.41,3332.07,3332.6,147,5,0
2025-06-11 04:47:00,3332.6,3333.66,3332.6,3333.09,96,5,0
2025-06-11 04:48:00,3333.09,3333.64,3332.05,3332.05,106,5,0
2025-06-11 04:49:00,3332.05,3332.33,3331.14,3331.22,112,5,0
2025-06-11 04:50:00,3331.22,3331.22,3330.28,3330.28,136,5,0
2025-06-11 04:51:00,3330.28,3331.02,3329.88,3330.04,138,5,0
2025-06-11 04:52:00,3330.06,3330.72,3329.67,3330.23,152,5,0
2025-06-11 04:53:00,3330.23,3330.32,3328.64,3329.38,163,5,0
2025-06-11 04:54:00,3329.38,3329.54,3328.59,3328.59,120,5,0
2025-06-11 04:55:00,3328.68,3329.3,3328.57,3329.02,150,9,0
2025-06-11 04:56:00,3329.02,3329.18,3328.19,3328.3,119,5,0
2025-06-11 04:57:00,3328.3,3328.41,3327.69,3328.41,120,5,0
2025-06-11 04:58:00,3328.41,3328.62,3327.67,3328.31,97,5,0
2025-06-11 04:59:00,3328.31,3328.89,3328.15,3328.5,97,5,0
2025-06-11 05:00:00,3328.47,3329.19,3328.37,3329.06,107,5,0
2025-06-11 05:01:00,3329.06,3329.25,3328.4,3328.4,103,5,0
2025-06-11 05:02:00,3328.4,3328.58,3327.17,3327.58,133,5,0
2025-06-11 05:03:00,3327.58,3328.8,3327.57,3328.29,111,12,0
2025-06-11 05:04:00,3328.29,3329.22,3328.13,3328.18,105,9,0
2025-06-11 05:05:00,3328.18,3328.36,3327.61,3328.27,103,5,0
2025-06-11 05:06:00,3328.25,3328.76,3327.76,3327.86,92,5,0
2025-06-11 05:07:00,3327.86,3328.59,3327.83,3328.24,94,5,0
2025-06-11 05:08:00,3328.24,3328.95,3328.22,3328.93,99,5,0
2025-06-11 05:09:00,3328.93,3330.24,3328.93,3330.24,144,5,0
2025-06-11 05:10:00,3330.25,3330.44,3329.65,3330.36,105,5,0
2025-06-11 05:11:00,3330.33,3332.06,3330.29,3331.84,164,5,0
2025-06-11 05:12:00,3331.86,3332.29,3331.53,3331.55,105,5,0
2025-06-11 05:13:00,3331.55,3332.52,3331.55,3332.19,90,5,0
2025-06-11 05:14:00,3332.19,3332.51,3331.53,3332.31,109,5,0
2025-06-11 05:15:00,3332.47,3333.44,3332.24,3333.34,93,5,0
2025-06-11 05:16:00,3333.34,3334.1,3333.34,3333.97,86,5,0
2025-06-11 05:17:00,3333.97,3335.14,3333.51,3335.04,117,5,0
2025-06-11 05:18:00,3335.04,3335.54,3335.04,3335.34,85,5,0
2025-06-11 05:19:00,3335.34,3335.99,3335.28,3335.91,134,5,0
2025-06-11 05:20:00,3335.91,3336.4,3335.42,3336.21,124,5,0
2025-06-11 05:21:00,3336.21,3336.37,3335.2,3335.82,122,11,0
